,Pub,Time
0,US-5545806-A,2
1,US-5403312-A,2
2,US-5633425-A,2
3,US-5661016-A,2
4,US-5565332-A,2
5,US-5821337-A,1
6,US-5383880-A,3
7,US-5312023-A,3
8,US-5389098-A,3
9,US-5433721-A,3
10,US-5445934-A,2
11,US-5205459-A,3
12,US-5307976-A,3
13,US-5403484-A,3
14,US-5496312-A,3
15,US-5497933-A,3
16,US-5415334-A,3
17,US-5285945-A,3
18,US-5542594-A,3
19,US-5395030-A,3
20,US-5487499-A,3
21,US-5304719-A,4
22,US-5397324-A,3
23,US-5367109-A,4
24,US-5571698-A,3
25,US-5411508-A,3
26,US-5484451-A,3
27,US-5608872-A,3
28,US-5939598-A,3
29,US-5483261-A,3
30,US-5318221-A,3
31,US-5391199-A,2
32,US-5520700-A,3
33,US-5649104-A,3
34,US-5326013-A,3
35,US-5330502-A,3
36,US-5484095-A,3
37,US-5400267-A,3
38,US-5425745-A,3
39,US-5278272-A,3
40,US-5410326-A,4
41,US-5493692-A,4
42,US-5497772-A,3
43,US-5636643-A,4
44,US-5271543-A,3
45,US-5560532-A,3
46,US-5485952-A,3
47,US-5725554-A,3
48,US-5443463-A,3
49,US-5309927-A,3
50,US-5602240-A,2
51,US-5242457-A,3
52,US-5397046-A,3
53,US-5223844-B1,6
54,US-5223844-A,6
55,US-5503320-A,3
56,US-5332142-A,3
57,US-5263629-A,3
58,US-5334183-A,3
59,US-5292053-A,3
60,US-5209747-A,3
61,US-5477012-A,12
62,US-5392979-A,3
63,US-5478003-A,3
64,US-5395312-A,3
65,US-5600364-A,7
66,US-5221036-A,3
67,US-5393057-A,8
68,US-5281216-A,3
69,US-5441193-A,3
70,US-5383874-A,3
71,US-5271544-A,3
72,US-5478354-A,3
73,US-5208020-A,2
74,US-5408409-A,3
75,US-5339799-A,3
76,US-5374564-A,4
77,US-5539082-A,2
78,US-5405344-A,3
79,US-5307263-A,4
80,US-5217457-A,3
81,US-5333773-A,3
82,US-5352229-A,3
83,US-5733743-A,3
84,US-5374277-A,3
85,US-6407213-B1,2
86,US-5468253-A,3
87,US-5275323-A,3
88,US-5383888-A,3
89,US-5368015-A,3
90,US-5474796-A,5
91,US-5366479-A,3
92,US-5195968-A,3
93,US-5381943-A,3
94,US-5814318-A,3
95,US-5413268-A,3
96,US-5503635-A,3
97,US-5381782-A,3
98,US-5512131-A,5
99,US-5246443-A,3
100,US-5484437-A,5
101,US-5376095-A,3
102,US-5562682-A,3
103,US-5364003-A,3
104,US-5314466-A,3
105,US-5331966-A,5
106,US-5395034-A,3
107,US-5348259-A,3
108,US-5332402-A,3
109,US-5304204-A,3
110,US-5405360-A,3
111,US-5405072-A,3
112,US-5350400-A,3
113,US-5312024-A,3
114,US-5358506-A,3
115,US-5449370-A,3
116,US-5192288-A,3
117,US-5282806-A,3
118,US-5341807-A,3
119,US-5403311-A,7
120,US-5370645-A,3
121,US-5401269-A,6
122,US-5336232-A,3
123,US-5431322-A,3
124,US-5441483-A,3
125,US-5527293-A,5
126,US-5364001-A,3
127,US-5465894-A,3
128,US-5259366-A,3
129,US-5342396-A,3
130,US-5415661-A,6
131,US-5407293-A,3
132,US-5379933-A,3
133,US-5344454-A,3
134,US-5441494-A,3
135,US-5264104-A,4
136,US-5321501-A,6
137,US-5330486-A,3
138,US-5542949-A,3
139,US-5342047-A,7
140,US-5489677-A,2
141,US-5236440-A,3
142,US-5342395-A,3
143,US-6210403-B1,3
144,US-5342381-A,3
145,US-5270163-A,5
146,US-5464300-A,3
147,US-5321816-A,3
148,US-5470006-A,3
149,US-5400246-A,4
150,US-5299571-A,3
151,US-5389104-A,3
152,US-5350391-A,3
153,US-5587458-A,2
154,US-5353121-A,9
155,US-5275322-A,3
156,US-5290310-A,3
157,US-5544347-A,3
158,US-5550677-A,2
159,US-5277201-A,6
160,US-5284128-A,3
161,US-5605662-A,6
162,US-5383851-A,3
163,US-5431668-A,3
164,US-5356786-A,4
165,US-5399491-A,4
166,US-5290271-A,3
167,US-5409498-A,3
168,US-6083191-A,3
169,US-5447513-A,3
170,US-5454101-A,4
171,US-5423471-A,3
172,US-5352238-A,3
173,US-5490505-A,4
174,US-5422567-A,3
