,Pub,Time,Time_10,Time_90,Time_100
0,US-5223409-A,13,12,28,1
1,US-5530101-A,15,12,28,2
2,US-5225539-A,18,16,32,1
3,US-5569825-A,14,11,26,2
4,US-5143854-A,12,8,25,4
5,US-5247190-A,13,10,26,3
6,US-5084057-A,21,14,28,3
7,US-5103459-A,11,5,19,10
8,US-5103459-B1,11,5,19,10
9,US-5042707-A,22,13,28,3
10,US-5129570-A,23,16,28,3
11,US-5272236-A,13,4,25,3
12,US-5065929-A,23,16,28,3
13,US-5104025-A,22,13,27,3
14,US-5500362-A,21,13,27,2
15,US-5289963-A,23,14,27,3
16,US-RE34519-E,20,12,25,3
17,US-5969108-A,14,6,21,3
18,US-5171247-A,24,17,27,3
19,US-5192327-A,14,7,24,4
20,US-5145684-A,15,8,24,5
21,US-5234447-A,22,9,27,3
22,US-5190517-A,23,9,27,3
23,US-5253793-A,23,18,27,3
24,US-5210015-A,19,10,27,4
25,US-5413267-A,22,14,25,3
26,US-5151092-A,20,7,26,3
27,US-5156315-A,23,17,26,3
28,US-5064435-A,15,6,26,4
29,US-5197649-A,24,11,27,3
30,US-5014899-A,26,20,30,3
31,US-5222963-A,23,12,26,3
32,US-5282829-A,22,15,26,3
33,US-5111987-A,23,14,26,3
34,US-5156609-A,24,13,27,3
35,US-5015227-A,25,15,28,3
36,US-5192301-A,17,10,25,4
37,US-5645081-A,18,11,23,4
38,US-5083695-A,25,17,28,3
39,US-5429361-A,13,7,22,5
40,US-5141144-A,25,19,29,3
41,US-5427908-A,21,12,28,3
42,US-5122156-A,24,14,27,3
43,US-5074454-A,25,19,29,3
44,US-5297032-A,18,9,24,6
45,US-5246156-A,24,15,28,3
46,US-5139513-A,24,17,27,3
47,US-5172338-A,16,9,21,10
48,US-5172338-B1,16,9,21,10
49,US-5304121-A,17,8,23,6
50,US-5171249-A,24,14,27,3
51,US-5275608-A,24,13,27,3
52,US-5279294-A,15,9,24,4
53,US-5059193-A,19,10,26,4
54,US-5297031-A,16,8,23,6
55,US-5185444-A,21,11,27,2
56,US-5088979-A,24,12,27,3
57,US-5207697-A,23,14,26,3
58,US-5088997-A,26,13,29,3
59,US-5137198-A,24,15,27,3
60,US-5485474-A,23,16,26,4
61,US-5092866-A,18,13,25,6
62,US-5061569-A,24,12,28,3
63,US-5031814-A,26,17,29,3
64,US-5424186-A,15,7,25,4
65,US-5244462-A,22,12,25,3
66,US-5156614-A,24,17,27,3
67,US-5165407-A,19,10,25,3
68,US-5222976-A,24,16,27,3
69,US-5432272-A,20,9,25,2
70,US-5347653-A,23,11,28,3
71,US-5100423-A,17,8,24,6
72,US-5108420-A,19,9,26,5
73,US-5370685-A,22,8,25,3
74,US-5116349-A,24,16,27,3
75,US-5750373-A,21,10,25,2
76,US-5106008-A,26,19,29,3
77,US-5100396-A,23,15,27,5
78,US-5190544-A,24,12,26,3
79,US-5354556-A,19,9,24,4
80,US-5197648-A,25,18,28,3
81,US-5009661-A,26,15,28,3
82,US-5335657-A,19,10,23,5
83,US-5059595-A,21,11,25,3
