,Pub,Time
0,US-5223409-A,1
1,US-5530101-A,2
2,US-5225539-A,1
3,US-5569825-A,2
4,US-5143854-A,4
5,US-5247190-A,3
6,US-5084057-A,3
7,US-5103459-A,10
8,US-5103459-B1,10
9,US-5042707-A,3
10,US-5129570-A,3
11,US-5272236-A,3
12,US-5065929-A,3
13,US-5104025-A,3
14,US-5500362-A,2
15,US-5289963-A,3
16,US-RE34519-E,3
17,US-5969108-A,3
18,US-5171247-A,3
19,US-5192327-A,4
20,US-5145684-A,5
21,US-5234447-A,3
22,US-5190517-A,3
23,US-5253793-A,3
24,US-5210015-A,4
25,US-5413267-A,3
26,US-5151092-A,3
27,US-5156315-A,3
28,US-5064435-A,4
29,US-5197649-A,3
30,US-5014899-A,3
31,US-5222963-A,3
32,US-5282829-A,3
33,US-5111987-A,3
34,US-5156609-A,3
35,US-5015227-A,3
36,US-5192301-A,4
37,US-5645081-A,4
38,US-5083695-A,3
39,US-5429361-A,5
40,US-5141144-A,3
41,US-5427908-A,3
42,US-5122156-A,3
43,US-5074454-A,3
44,US-5297032-A,6
45,US-5246156-A,3
46,US-5139513-A,3
47,US-5172338-A,10
48,US-5172338-B1,10
49,US-5304121-A,6
50,US-5171249-A,3
51,US-5275608-A,3
52,US-5279294-A,4
53,US-5059193-A,4
54,US-5297031-A,6
55,US-5185444-A,2
56,US-5088979-A,3
57,US-5207697-A,3
58,US-5088997-A,3
59,US-5137198-A,3
60,US-5485474-A,4
61,US-5092866-A,6
62,US-5061569-A,3
63,US-5031814-A,3
64,US-5424186-A,4
65,US-5244462-A,3
66,US-5156614-A,3
67,US-5165407-A,3
68,US-5222976-A,3
69,US-5432272-A,2
70,US-5347653-A,3
71,US-5100423-A,6
72,US-5108420-A,5
73,US-5370685-A,3
74,US-5116349-A,3
75,US-5750373-A,2
76,US-5106008-A,3
77,US-5100396-A,5
78,US-5190544-A,3
79,US-5354556-A,4
80,US-5197648-A,3
81,US-5009661-A,3
82,US-5335657-A,5
83,US-5059595-A,3
