,Pub,Time
0,US-5585089-A,27
1,US-5523520-A,21
2,US-5693762-A,27
3,US-5625126-A,21
4,US-5545807-A,26
5,US-5465895-A,24
6,US-5624821-A,27
7,US-6180370-B1,24
8,US-5740549-A,19
9,US-5632432-A,24
10,US-5724521-A,19
11,US-5597107-A,23
12,US-5744305-A,23
13,US-5754939-A,23
14,US-5693761-A,24
15,US-5624452-A,21
16,US-5742905-A,19
17,US-5580859-A,24
18,US-5794210-A,18
19,US-5648260-A,24
20,US-5572643-A,18
21,US-5710887-A,18
22,US-6075181-A,23
23,US-5735848-A,22
24,US-5601224-A,22
25,US-5411552-A,24
26,US-5779130-A,22
27,US-5715314-A,19
28,US-5833695-A,20
29,US-5758257-A,20
30,US-5655961-A,21
31,US-5467911-A,25
32,US-5709680-A,22
33,US-5529235-A,23
34,US-5695504-A,23
35,US-5629980-A,18
36,US-5395033-A,25
37,US-5661506-A,14
38,US-5782396-A,21
39,US-5531744-A,23
40,US-5391250-A,25
41,US-5667517-A,21
42,US-5485947-A,25
43,US-5852434-A,13
44,US-5390671-A,24
45,US-5782397-A,21
46,US-5564615-A,23
47,US-5715403-A,19
48,US-5571116-A,23
49,US-5707745-A,24
50,US-5488204-A,24
51,US-5711472-A,21
52,US-5626587-A,22
53,US-5817084-A,25
54,US-5577188-A,24
55,US-5575799-A,23
56,US-5518164-A,24
57,US-5593852-A,21
58,US-5770429-A,22
59,US-5792165-A,23
60,US-5489058-A,25
61,US-5558671-A,24
62,US-5762256-A,23
63,US-5518163-A,22
64,US-5868760-A,23
65,US-5487500-A,24
66,US-5715450-A,22
67,US-5474566-A,24
68,US-5535937-A,23
69,US-5658300-A,22
70,US-5752644-A,24
71,US-5770533-A,21
72,US-5533661-A,22
73,US-5899855-A,21
74,US-5480089-A,23
75,US-5589466-A,25
76,US-5562239-A,20
77,US-5496317-A,22
78,US-5713896-A,23
79,US-5535934-A,25
80,US-5480409-A,24
81,US-5688270-A,23
82,US-5743456-A,20
83,US-5708780-A,18
84,US-5482197-A,25
85,US-5609285-A,22
86,US-5835087-A,18
87,US-5643826-A,16
88,US-5452837-A,25
89,US-5652412-A,15
90,US-5549637-A,24
91,US-5549628-A,22
92,US-5639476-A,24
93,US-5859205-A,27
94,US-5797536-A,19
95,US-5855311-A,19
96,US-5575803-A,22
97,US-5630539-A,22
98,US-5540375-A,24
99,US-6054297-A,24
100,US-5630540-A,22
101,US-5454827-A,25
102,US-5665085-A,24
103,US-5702409-A,24
104,US-5720744-A,21
105,US-6690963-B2,19
106,US-5647526-A,21
107,US-5584425-A,23
108,US-5610683-A,18
109,US-5562241-A,22
110,US-5607095-A,24
111,US-5535935-A,24
112,US-5580717-A,22
113,US-5677955-A,21
114,US-5507288-B1,24
115,US-5507288-A,24
116,US-5839639-A,20
117,US-5553765-A,23
118,US-5731168-A,25
119,US-5645209-A,20
120,US-5569186-A,24
121,US-5693051-A,22
122,US-5778395-A,23
123,US-5599350-A,24
124,US-5869046-A,21
125,US-5588579-A,22
126,US-5813009-A,23
127,US-5417361-A,24
128,US-5605793-A,23
129,US-5649937-A,20
130,US-5489256-A,24
131,US-5415335-A,25
132,US-5620452-A,23
133,US-5554169-A,19
134,US-5582617-A,23
135,US-5586711-A,22
136,US-5582611-A,21
137,US-5718359-A,23
138,US-5632433-A,23
139,US-5807393-A,21
140,US-5724424-A,16
141,US-5697909-A,24
142,US-5503638-A,24
143,US-5507426-A,25
144,US-5807522-A,21
145,US-5653373-A,23
146,US-5608786-A,18
147,US-5706997-A,21
148,US-5768382-A,20
149,US-5765152-A,17
150,US-5573543-A,22
151,US-5536637-A,10
152,US-5776130-A,22
153,US-5762552-A,23
154,US-5553675-A,24
155,US-5894979-A,19
156,US-5505363-A,24
157,US-5754938-A,19
158,US-5551622-A,25
159,US-5618307-A,24
160,US-5445304-A,25
161,US-5470010-A,23
162,US-5501654-A,24
163,US-5651491-A,23
164,US-6004269-A,25
165,US-5592551-A,20
166,US-5693042-A,21
167,US-5816471-A,21
168,US-6131789-A,19
169,US-5732871-A,22
170,US-5658281-A,23
171,US-5609635-A,24
172,US-5607094-A,23
173,US-5699528-A,19
174,US-5456401-A,24
175,US-5586553-A,23
176,US-5589892-A,20
177,US-5560530-A,17
178,US-5827271-A,21
179,US-6241747-B1,21
180,US-5706998-A,18
181,US-5941442-A,20
182,US-5774643-A,22
183,US-5700270-A,22
184,US-5591170-A,20
185,US-5743262-A,22
186,US-5718360-A,20
187,US-5700637-A,24
188,US-5476206-A,24
189,US-5647869-A,23
190,US-5603443-A,21
191,US-5685474-A,20
192,US-5717923-A,18
193,US-5628890-A,23
194,US-5482036-A,24
195,US-5653721-A,23
196,US-5569234-A,30
197,US-5522817-A,22
198,US-5438302-A,23
199,US-5772905-A,17
200,US-5616876-A,21
201,US-5882774-A,22
202,US-5716981-A,18
203,US-5570315-A,18
204,US-5711861-A,23
205,US-5591187-A,22
206,US-5697542-A,23
207,US-5618294-A,22
208,US-5549584-A,22
209,US-5918213-A,19
210,US-5630541-A,20
211,US-5476479-A,23
212,US-5472132-A,25
213,US-5526822-A,23
214,US-6436097-B1,18
215,US-5549621-A,19
216,US-5715988-A,23
217,US-5807375-A,22
218,US-5774668-A,21
219,US-5670935-A,25
220,US-5470007-A,25
221,US-5667526-A,22
222,US-5665065-A,20
223,US-5626595-A,25
224,US-5664115-A,19
225,US-5680983-A,23
226,US-5514180-A,23
227,US-5571090-A,23
228,US-5854033-A,23
229,US-5732400-A,19
230,US-5594469-A,21
231,US-5997552-A,20
232,US-5660163-A,23
233,US-5924082-A,20
234,US-5609629-A,18
235,US-5615820-A,25
236,US-5590038-A,24
237,US-5607450-A,23
238,US-5452836-A,24
239,US-5634012-A,18
240,US-5667527-A,19
241,US-5580067-A,24
242,US-5421829-A,23
243,US-5830721-A,23
244,US-5562701-A,22
245,US-5605273-A,23
246,US-5439156-A,24
247,US-5474057-A,25
248,US-5772659-A,22
249,US-5522899-A,24
250,US-5809285-A,22
251,US-5509596-A,24
252,US-5811238-A,23
253,US-5613012-A,21
254,US-5571100-B1,23
255,US-5571100-A,23
256,US-5472442-A,24
257,US-5925517-A,21
258,US-5547117-A,23
259,US-5591767-A,22
260,US-5437681-A,23
261,US-5860975-A,21
262,US-5519134-A,24
263,US-5827298-A,22
264,US-5549679-A,22
265,US-5537314-A,23
266,US-5826241-A,19
267,US-5695502-A,23
268,US-5722891-A,18
269,US-5875108-A,19
270,US-5632272-A,23
271,US-5511564-A,24
272,US-5904693-A,18
