,Pub,Time
0,US-5585089-A,12
1,US-5523520-A,8
2,US-5693762-A,12
3,US-5625126-A,6
4,US-5545807-A,11
5,US-5465895-A,11
6,US-5624821-A,13
7,US-6180370-B1,9
8,US-5740549-A,5
9,US-5632432-A,14
10,US-5724521-A,5
11,US-5597107-A,12
12,US-5744305-A,7
13,US-5754939-A,5
14,US-5693761-A,9
15,US-5624452-A,9
16,US-5742905-A,5
17,US-5580859-A,7
18,US-5794210-A,4
19,US-5648260-A,10
20,US-5572643-A,2
21,US-5710887-A,5
22,US-6075181-A,7
23,US-5735848-A,10
24,US-5601224-A,10
25,US-5411552-A,8
26,US-5779130-A,10
27,US-5715314-A,5
28,US-5833695-A,10
29,US-5758257-A,5
30,US-5655961-A,7
31,US-5467911-A,14
32,US-5709680-A,9
33,US-5529235-A,12
34,US-5695504-A,6
35,US-5629980-A,5
36,US-5395033-A,13
37,US-5661506-A,4
38,US-5782396-A,10
39,US-5531744-A,10
40,US-5391250-A,11
41,US-5667517-A,8
42,US-5485947-A,13
43,US-5852434-A,3
44,US-5390671-A,11
45,US-5782397-A,9
46,US-5564615-A,12
47,US-5715403-A,6
48,US-5571116-A,9
49,US-5707745-A,7
50,US-5488204-A,13
51,US-5711472-A,10
52,US-5626587-A,14
53,US-5817084-A,17
54,US-5577188-A,14
55,US-5575799-A,12
56,US-5518164-A,11
57,US-5593852-A,9
58,US-5770429-A,7
59,US-5792165-A,12
60,US-5489058-A,13
61,US-5558671-A,12
62,US-5762256-A,11
63,US-5518163-A,10
64,US-5868760-A,9
65,US-5487500-A,12
66,US-5715450-A,13
67,US-5474566-A,14
68,US-5535937-A,12
69,US-5658300-A,12
70,US-5752644-A,14
71,US-5770533-A,7
72,US-5533661-A,10
73,US-5899855-A,7
74,US-5480089-A,11
75,US-5589466-A,7
76,US-5562239-A,9
77,US-5496317-A,10
78,US-5713896-A,11
79,US-5535934-A,14
80,US-5480409-A,11
81,US-5688270-A,11
82,US-5743456-A,9
83,US-5708780-A,3
84,US-5482197-A,13
85,US-5609285-A,10
86,US-5835087-A,5
87,US-5643826-A,5
88,US-5452837-A,14
89,US-5652412-A,6
90,US-5549637-A,13
91,US-5549628-A,11
92,US-5639476-A,9
93,US-5859205-A,13
94,US-5797536-A,8
95,US-5855311-A,7
96,US-5575803-A,12
97,US-5630539-A,11
98,US-5540375-A,14
99,US-6054297-A,9
