,Pub,Time
0,US-5585089-A,1
1,US-5523520-A,3
2,US-5693762-A,2
3,US-5625126-A,2
4,US-5545807-A,2
5,US-5465895-A,3
6,US-5624821-A,2
7,US-6180370-B1,2
8,US-5740549-A,5
9,US-5632432-A,3
10,US-5724521-A,5
11,US-5597107-A,3
12,US-5744305-A,3
13,US-5754939-A,3
14,US-5693761-A,2
15,US-5624452-A,3
16,US-5742905-A,7
17,US-5580859-A,2
18,US-5794210-A,5
19,US-5648260-A,2
20,US-5572643-A,6
21,US-5710887-A,7
22,US-6075181-A,2
23,US-5735848-A,3
24,US-5601224-A,3
25,US-5411552-A,3
26,US-5779130-A,3
27,US-5715314-A,6
28,US-5833695-A,3
29,US-5758257-A,5
30,US-5655961-A,4
31,US-5467911-A,3
32,US-5709680-A,3
33,US-5529235-A,3
34,US-5695504-A,3
35,US-5629980-A,7
36,US-5395033-A,3
37,US-5661506-A,11
38,US-5782396-A,3
39,US-5531744-A,3
40,US-5391250-A,3
41,US-5667517-A,3
42,US-5485947-A,3
43,US-5852434-A,12
44,US-5390671-A,3
45,US-5782397-A,3
46,US-5564615-A,3
47,US-5715403-A,6
48,US-5571116-A,3
49,US-5707745-A,2
50,US-5488204-A,3
51,US-5711472-A,3
52,US-5626587-A,3
53,US-5817084-A,3
54,US-5577188-A,3
55,US-5575799-A,3
56,US-5518164-A,3
57,US-5593852-A,3
58,US-5770429-A,2
59,US-5792165-A,3
60,US-5489058-A,3
61,US-5558671-A,3
62,US-5762256-A,3
63,US-5518163-A,3
64,US-5868760-A,3
65,US-5487500-A,3
66,US-5715450-A,3
67,US-5474566-A,3
68,US-5535937-A,3
69,US-5658300-A,3
70,US-5752644-A,3
71,US-5770533-A,6
72,US-5533661-A,3
73,US-5899855-A,3
74,US-5480089-A,3
75,US-5589466-A,2
76,US-5562239-A,3
77,US-5496317-A,3
78,US-5713896-A,3
79,US-5535934-A,3
80,US-5480409-A,3
81,US-5688270-A,3
82,US-5743456-A,3
83,US-5708780-A,7
84,US-5482197-A,3
85,US-5609285-A,3
86,US-5835087-A,7
87,US-5643826-A,10
88,US-5452837-A,3
89,US-5652412-A,13
90,US-5549637-A,3
91,US-5549628-A,3
92,US-5639476-A,3
93,US-5859205-A,2
94,US-5797536-A,3
95,US-5855311-A,3
96,US-5575803-A,3
97,US-5630539-A,3
98,US-5540375-A,3
99,US-6054297-A,3
100,US-5630540-A,3
101,US-5454827-A,3
102,US-5665085-A,3
103,US-5702409-A,3
104,US-5720744-A,3
105,US-6690963-B2,2
106,US-5647526-A,3
107,US-5584425-A,3
108,US-5610683-A,6
109,US-5562241-A,3
110,US-5607095-A,3
111,US-5535935-A,3
112,US-5580717-A,3
113,US-5677955-A,5
114,US-5507288-B1,3
115,US-5507288-A,3
116,US-5839639-A,3
117,US-5553765-A,3
118,US-5731168-A,2
119,US-5645209-A,3
120,US-5569186-A,3
121,US-5693051-A,3
122,US-5778395-A,3
123,US-5599350-A,3
124,US-5869046-A,2
125,US-5588579-A,3
126,US-5813009-A,3
127,US-5417361-A,3
128,US-5605793-A,3
129,US-5649937-A,3
130,US-5489256-A,3
131,US-5415335-A,3
132,US-5620452-A,3
133,US-5554169-A,3
134,US-5582617-A,3
135,US-5586711-A,3
136,US-5582611-A,3
137,US-5718359-A,3
138,US-5632433-A,3
139,US-5807393-A,3
140,US-5724424-A,8
141,US-5697909-A,3
