,Pub,Time
0,US-5892900-A,3
1,US-5731856-A,3
2,US-5744864-A,3
3,US-5948061-A,4
4,US-5794207-A,5
5,US-5704534-A,3
6,US-5948040-A,4
7,US-5848396-A,4
8,US-6029195-A,5
9,US-5865361-A,2
10,US-5825352-A,3
11,US-6029141-A,3
12,US-5792135-A,3
13,US-5960411-A,4
14,US-5855601-A,3
15,US-5716366-A,3
16,US-5862325-A,6
17,US-5878193-A,3
18,US-6045560-A,3
19,US-5762255-A,3
20,US-6150584-A,2
21,US-5673840-A,3
22,US-5673841-A,3
23,US-6264086-B1,3
24,US-5933811-A,5
25,US-5810811-A,3
26,US-5821937-A,3
27,US-5954259-A,3
28,US-5915616-A,3
29,US-5880411-A,3
30,US-5797537-A,3
31,US-5662662-A,3
32,US-6109500-A,3
33,US-5850009-A,4
34,US-5855583-A,3
35,US-5820009-A,3
36,US-6303238-B1,3
37,US-5713505-A,3
38,US-6132368-A,3
39,US-5773683-A,3
40,US-5873096-A,3
41,US-5703436-A,3
42,US-5725536-A,3
43,US-H1904-H,3
44,US-6004335-A,3
45,US-5774660-A,5
46,US-6024741-A,3
47,US-5814055-A,3
48,US-H2037-H,3
49,US-5871135-A,3
50,US-5796952-A,5
51,US-5653374-A,3
52,US-5897562-A,3
53,US-5831610-A,3
54,US-5810855-A,3
55,US-5957949-A,3
56,US-5577654-A,3
57,US-5964774-A,3
58,US-5761419-A,3
59,US-6169534-B1,3
60,US-5690269-A,3
61,US-6119913-A,3
62,US-6295530-B1,3
63,US-5968830-A,3
64,US-6190353-B1,4
65,US-6091956-A,5
66,US-5817093-A,3
67,US-5901895-A,3
68,US-5715987-A,3
69,US-5918791-A,3
70,US-5749893-A,3
71,US-5819038-A,3
72,US-5655698-A,3
73,US-5721827-A,5
74,US-5822715-A,3
75,US-5918159-A,3
76,US-6099537-A,3
77,US-5826776-A,3
78,US-5732872-A,3
79,US-5816918-A,4
80,US-5692668-A,3
81,US-5799857-A,3
82,US-6033399-A,3
83,US-5634584-A,3
84,US-5829662-A,3
85,US-5752965-A,3
86,US-5906625-A,3
87,US-5908427-A,3
88,US-5588581-A,3
89,US-6076734-A,12
90,US-5680982-A,3
91,US-5692073-A,13
92,US-5662258-A,3
93,US-6310610-B1,3
94,US-5876401-A,3
95,US-6086600-A,3
96,US-5662260-A,3
97,US-5797538-A,3
98,US-6017354-A,3
99,US-5769892-A,3
100,US-5636780-A,3
101,US-5817119-A,3
102,US-5669544-A,3
103,US-5883810-A,4
104,US-5680981-A,3
105,US-6024748-A,3
106,US-5673842-A,3
107,US-5628446-A,3
108,US-5956716-A,5
109,US-5814057-A,3
110,US-5833690-A,3
111,US-5779132-A,3
112,US-5915167-A,3
113,US-6021397-A,4
114,US-5823066-A,3
115,US-5878938-A,3
116,US-6460036-B1,5
117,US-5862223-A,7
118,US-6050472-A,3
119,US-6050996-A,3
120,US-5837458-A,4
121,US-5709334-A,3
122,US-5755717-A,3
123,US-6009410-A,6
124,US-5657921-A,3
125,US-5639008-A,3
126,US-5844363-A,3
127,US-5588580-A,3
128,US-5834893-A,3
129,US-6074386-A,3
130,US-5669918-A,3
131,US-6210891-B1,2
132,US-5902312-A,3
133,US-5848932-A,7
134,US-5833603-A,4
135,US-5873904-A,9
136,US-6039734-A,3
137,US-5850218-A,5
138,US-5919198-A,3
139,US-5987611-A,4
140,US-5758814-A,3
141,US-5728110-A,3
142,US-6091195-A,3
143,US-5605272-A,3
144,US-5779131-A,3
145,US-5768192-A,8
146,US-5645599-A,5
147,US-5835896-A,7
148,US-6222762-B1,9
149,US-6240555-B1,4
150,US-6187003-B1,3
151,US-5944715-A,3
152,US-6110041-A,4
153,US-5791344-A,3
154,US-5825043-A,6
155,US-6016038-A,5
156,US-5749889-A,3
157,US-5931847-A,3
158,US-5800420-A,3
159,US-5785232-A,3
160,US-5817109-A,3
161,US-5833696-A,3
162,US-5836503-A,3
163,US-5982891-A,7
164,US-5840081-A,3
165,US-5918014-A,6
166,US-5893506-A,3
167,US-5891160-A,3
168,US-6068627-A,3
169,US-5788573-A,6
170,US-5800992-A,5
171,US-5835079-A,3
172,US-6013982-A,3
173,US-6056735-A,3
174,US-5991414-A,3
175,US-6017356-A,3
176,US-5910987-A,7
177,US-5702408-A,3
178,US-6175571-B1,4
179,US-5988479-A,3
180,US-5801154-A,6
181,US-6015406-A,3
182,US-D416089-S,3
183,US-6337102-B1,3
184,US-5860581-A,3
185,US-5925021-A,3
186,US-6042607-A,3
187,US-5697543-A,3
188,US-6332089-B1,2
189,US-5856174-A,5
190,US-6026388-A,6
191,US-6293942-B1,3
192,US-5938667-A,3
193,US-5893835-A,3
194,US-5862260-A,5
195,US-5947984-A,3
196,US-5766188-A,3
197,US-5823874-A,8
198,US-5797959-A,3
199,US-5846254-A,3
200,US-5643291-A,3
201,US-6134532-A,6
202,US-6004319-A,3
203,US-5732074-A,7
204,US-5969441-A,6
205,US-6112181-A,7
206,US-6002394-A,7
207,US-5782859-A,3
208,US-6088608-A,3
209,US-5867821-A,4
210,US-6050990-A,3
211,US-5599279-A,3
212,US-6135884-A,5
213,US-6171316-B1,3
214,US-5779549-A,6
215,US-6012159-A,4
216,US-6053922-A,3
217,US-5980384-A,7
218,US-6269369-B1,6
219,US-6093186-A,3
220,US-6120433-A,3
221,US-5933498-A,8
222,US-6001067-A,3
223,US-5921956-A,3
224,US-6704210-B1,3
225,US-5810721-A,3
226,US-6089976-A,8
227,US-6033378-A,3
228,US-5855008-A,4
229,US-5735445-A,3
230,US-5865846-A,6
231,US-5998925-A,6
232,US-5624398-A,3
233,US-5725552-A,5
234,US-5790790-A,8
235,US-5827323-A,3
236,US-6029045-A,5
237,US-6012494-A,3
238,US-6074401-A,3
